First Name,Last Name,Age,FA Year,Contract Length,Contract Total (mill),Contract Per Year,Inflation
Garrett,Temple,30,2016,3,24,8,10.41666667
Garrett,Temple,28,2014,2,2.081686,1.040843,1.449642061
Jason,Terry,35,2012,3,15.675,5.225,7.821856287
Marcus,Thornton,24,2011,4,31.15,7.7875,12.11119751
PJ,Tucker,32,2017,4,31.87,7.9675,10.04728878
Evan,Turner,27,2016,4,70,17.5,22.78645833
Evan,Turner,25,2014,2,6.70351,3.351755,4.668182451
Dwyane,Wade,34,2016,2,47,23.5,30.59895833
Dion,Waiters,25,2017,4,52,13,16.39344262
Dion,Waiters,24,2016,2,5.92641,2.963205,3.858339844
Gerald,Wallace,30,2012,4,40.00003,10.000008,14.97007186
Louis,Williams,28,2015,3,21,7,9.421265141
Louis,Williams,25,2012,3,15.675,5.225,7.821856287
Nick,Young,29,2014,4,21.326174,5.331544,7.425548747
Nick,Young,28,2013,2,2.334927,1.167464,1.684652237